Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Chlorfenapyr, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Chlorfenapyr, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,Cuprous Oxide (Copper determined as elemental copper) mg/kg,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Cuprous Oxide (Copper determined as elemental copper) mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Cyantranilipole, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Cyantranilipole, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Deltamethrin/Decamethrin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Deltamethrin/Decamethrin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Diafenthiuron, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Diafenthiuron, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Dicofol (Sum of p,p and o,p isomers), mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Dicofol (Sum of p,p and o,p isomers), mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Difenoconazole, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Difenoconazole, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Dimethoate, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Dimethoate, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Fenazaquin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Fenazaquin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Fenpropathrin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Fenpropathrin, mg/kg",,,,,,,
